problem,search.method,plan.length,metric.search,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events
p1,sat-hmrph,373,0.0,659,379,409,29,746,8797,372,discrete,135,0,135,0,0
p3,sat-hradd,923,0.0,1876,1318,1418,56,1846,33039,20785,discrete,283,0,283,0,0
p2,opt,674,0.0,754,383,426,52,1349,12354,14923,discrete,203,0,203,0,0
p0,sat-hmrphj,186,0.0,272,65,77,24,372,1831,185,discrete,67,0,67,0,0
p4,sas,1166,0.0,4324,3620,3804,46,2333,65039,29550,discrete,383,0,385,0,0
p6,sat-haddabs,1595,0.0,8761,7647,8058,59,3191,107501,57376,discrete,486,0,487,0,0
p7,sat-hmrph,1494,0.0,27853,26528,27033,61,2988,155503,1493,discrete,557,0,557,0,0
p5,sat-hmrphj,1116,0.0,10358,9442,9764,56,2232,76861,1115,discrete,423,0,423,0,0
p0,sas,218,0.0,248,38,47,23,437,1590,1319,discrete,67,0,67,0,0
p6,opt,1595,0.0,8652,7515,7926,76,3191,107501,57376,discrete,486,0,487,0,0
p2,sat-hradd,674,0.0,765,378,434,52,1349,12354,14923,discrete,203,0,203,0,0
p6,opt-hmax,1595,0.0,8918,7770,8185,62,3191,107501,57376,discrete,486,0,487,0,0
p6,sat-hmrph,1305,0.0,17663,16530,16920,58,2610,112861,1304,discrete,486,0,487,0,0
p5,lm_opt,1373,0.0,5271,4442,4671,56,2747,72003,42412,discrete,423,0,423,0,0
p7,sat-hadd,1815,0.0,13801,12475,12982,62,3631,153531,74054,discrete,557,0,557,0,0
p0,sat-hmrp,218,0.0,271,60,74,23,437,1590,1319,discrete,67,0,67,0,0
p5,sat-hmrph,1116,0.0,10428,9610,9836,56,2232,76861,1115,discrete,423,0,423,0,0
p1,sat-hradd,446,0.0,393,118,144,29,893,5280,6529,discrete,135,0,135,0,0
p4,sat-hmrph,931,0.0,6834,6134,6317,60,1862,54931,930,discrete,383,0,385,0,0
p0,sat-hradd,218,0.0,242,30,45,23,437,1590,1319,discrete,67,0,67,0,0
p1,sat-hadd,446,0.0,395,120,143,29,893,5280,6529,discrete,135,0,135,0,0
p6,sat-hmrp,1595,0.0,16679,15553,15951,75,3191,107501,57376,discrete,486,0,487,0,0
p9,sat-hmrph,1862,0.0,51392,49432,50293,67,3724,223383,1861,discrete,706,0,706,0,0
p8,sat-haddabs,2084,0.0,21213,19591,20216,67,4169,193594,99857,discrete,653,0,653,0,0
p8,sat-hmrph,1680,0.0,40877,39292,39920,63,3360,194701,1679,discrete,653,0,653,0,0
p0,lm_opt,218,0.0,246,33,46,23,437,1590,1319,discrete,67,0,67,0,0
p8,opt,2084,0.0,21210,19566,20243,65,4169,193594,99857,discrete,653,0,653,0,0
p0,opt-hmax,218,0.0,245,33,47,23,437,1590,1319,discrete,67,0,67,0,0
p0,sat-haddabs,218,0.0,246,32,46,23,437,1590,1319,discrete,67,0,67,0,0
p9,sas,2297,0.0,23890,21820,22785,67,4595,197236,124119,discrete,706,0,706,0,0
p4,lm_opt,1166,0.0,4347,3646,3817,62,2333,65039,29550,discrete,383,0,385,0,0
p8,sat-hradd,2084,0.0,21481,19779,20514,64,4169,193594,99857,discrete,653,0,653,0,0
p3,opt-hmax,923,0.0,1883,1360,1462,57,1846,33039,20785,discrete,283,0,283,0,0
p9,sat-hradd,2297,0.0,23862,21903,22758,66,4595,197236,124119,discrete,706,0,706,0,0
p1,sat-hmrphj,373,0.0,674,381,423,28,746,8797,372,discrete,135,0,135,0,0
p2,sat-haddabs,674,0.0,760,378,426,51,1349,12354,14923,discrete,203,0,203,0,0
p8,sat-hmrp,2084,0.0,41766,40098,40795,64,4169,193594,99857,discrete,653,0,653,0,0
p5,sat-hmrp,1373,0.0,9794,8963,9199,55,2747,72003,42412,discrete,423,0,423,0,0
p2,sat-hadd,674,0.0,769,395,440,53,1349,12354,14923,discrete,203,0,203,0,0
p4,sat-hmrphj,931,0.0,6816,6047,6280,61,1862,54931,930,discrete,383,0,385,0,0
p8,opt-hrmax,2084,0.0,21357,19753,20392,65,4169,193594,99857,discrete,653,0,653,0,0
p7,sat-hmrphj,1494,0.0,28626,27142,27791,62,2988,155503,1493,discrete,557,0,557,0,0
p9,opt-hrmax,2297,0.0,24154,22184,23055,67,4595,197236,124119,discrete,706,0,706,0,0
p3,lm_opt,923,0.0,1806,1271,1387,57,1846,33039,20785,discrete,283,0,283,0,0
p6,aibr,1595,0.0,8802,7632,8055,76,3191,107501,57376,discrete,486,0,487,0,0
p2,sat-hmrphj,560,0.0,1636,1212,1307,52,1120,20901,559,discrete,203,0,203,0,0
p8,sas,2084,0.0,21188,19583,20230,65,4169,193594,99857,discrete,653,0,653,0,0
p2,opt-hmax,674,0.0,773,391,440,53,1349,12354,14923,discrete,203,0,203,0,0
p9,sat-hmrp,2297,0.0,49241,47203,48134,66,4595,197236,124119,discrete,706,0,706,0,0
p4,sat-hmrp,1166,0.0,7481,6781,6970,61,2333,65039,29550,discrete,383,0,385,0,0
p3,sat-hadd,923,0.0,1883,1315,1429,57,1846,33039,20785,discrete,283,0,283,0,0
p9,aibr,2297,0.0,23912,21938,22804,68,4595,197236,124119,discrete,706,0,706,0,0
p1,aibr,446,0.0,393,126,143,29,893,5280,6529,discrete,135,0,135,0,0
